name,age,goals,assists
Alexis Sánchez,27,13,4	
Mesut Özil ,27,6	,19	
Santi Cazorla ,31,-	,3	
Laurent Koscielny ,30,4	,-	
Nacho Monreal ,30,-	,3	
Gabriel Paulista ,25,1	,-	
Aaron Ramsey ,25,5	,4	
Héctor Bellerín ,21,1	,5	
David Ospina ,28,-	,-	
Francis Coquelin ,25,-	,-	
Olivier Giroud ,29,16	,6	
Danny Welbeck ,25,4	,2	
Petr Cech ,34,-	,-	
Per Mertesacker ,31,-	,-	
Mathieu Debuchy ,31,-	,-	
Alex Iwobi ,20,2	,2	
Mohamed Elneny ,24,-	,1	
Mathieu Flamini ,32,-	,-	
Joel Campbell ,24,3	,2	
Alex Oxlade Chamberlain ,23,1	,-	
Jack Wilshere ,24,-	,-	
Theo Walcott ,27,5	,2	
Calum Chambers ,21,-,-	
Mikel Arteta ,34,-	,-	
Kieran Gibbs ,26,1	,-	
Riyad Mahrez ,25,17	,11	
N'Golo Kanté ,25,1	,4	
Jamie Vardy ,29,24	,6	
Christian Fuchs ,30,-	,4	
Daniel Drinkwater ,26,2	,7	
Robert Huth ,32,3	,-	
Danny Simpson ,29,-	,-	
Wes Morgan ,32,2	,-	
Marc Albrighton ,26,2,6	
Jeffrey Schlupp ,23,1,2	
Ritchie de Laet ,27,1	,-	
Kasper Schmeichel ,29,-	,-	
Marcin Wasilewski ,36,-	,-	
Shinji Okazaki ,30,5	,-	
Leonardo Ulloa ,30,6	,2	
Andy King ,27,2	,1	
Gökhan Inler ,32,-	,-	
Demarai Gray ,20,-	,1	
Nathan Dyer ,28,1	,1	
Daniel Amartey ,21,-	,-	
Yohan Benalouane ,29,-	,-	
Andrej Kramaric ,25,-	,-	
Joseph Dodoo ,21,-	,-	
